asset_id,subject_id,session_date,area,plane,n_soma,mean_OSI,median_OSI,std_OSI,q25_OSI,q75_OSI,mean_DSI,median_DSI,std_DSI,q25_DSI,q75_DSI,n_tuned
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISp,VISp_0,350,0.39423330883395236,0.38763781788876944,0.1721630452930608,0.265731651752372,0.527899247718437,0.33942268247845697,0.3282061665152447,0.16610380310078562,0.2146469012635635,0.452681753853069,301
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISp,VISp_1,212,0.4414881189582815,0.47004186815936444,0.17961994306526693,0.2985464445971918,0.5857427722842801,0.34997727062449363,0.34472984111521976,0.16175535993470042,0.24007919860710025,0.4688482558748719,186
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISp,VISp_2,71,0.33814568473949635,0.31818222584192846,0.1701688055779907,0.20812965814095385,0.47756854587760333,0.34258890967737843,0.3339220850840657,0.1514416851720814,0.22010722243529177,0.44651011586968703,57
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISp,VISp_3,153,0.3975639310394017,0.38836115960309864,0.19260717763687213,0.23940260354855614,0.5467991086298793,0.3194148751827251,0.3208527371995401,0.13880588769111432,0.22836270127791242,0.4111323535173516,126
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISl,VISl_4,323,0.377792492888171,0.3596083434290873,0.18362617433986025,0.24002415816927714,0.508200959771163,0.3402614883481963,0.3184295061185994,0.16307461696244335,0.21836175588979123,0.46149467833616775,260
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISl,VISl_5,206,0.4768556715142581,0.5070299620939205,0.19086842618307173,0.34070898805379435,0.6300781801617293,0.3282388778798762,0.31065857305112216,0.15129792724552404,0.21808418071215896,0.44429094842513894,181
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISl,VISl_6,79,0.31862600201360997,0.2924866531962351,0.17812779450731706,0.16901277814459012,0.4376692247041529,0.2739398542347691,0.22310146271748957,0.15545493471324454,0.15229671746506002,0.37689765838927247,52
00451971-f839-4cb0-a11b-1d2e12c8ad6b,sub-839909,839909-202,VISl,VISl_7,242,0.392974901296389,0.3762129004396225,0.18336152667432526,0.24400586168613997,0.5335805455979012,0.29645856973861884,0.26643581196121674,0.1464212278910559,0.18578113647786126,0.40874816491037486,207
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISp,VISp_0,359,0.4041833099096918,0.41366773356939257,0.17790374229958814,0.25121871962114095,0.5320876261406704,0.33106318227528625,0.3284198881857819,0.16809874464062485,0.2010350102390311,0.4454657267906412,300
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISp,VISp_1,224,0.4554570046457137,0.45898665927286164,0.1844321116487113,0.32813995357831316,0.605361773844885,0.28675193357258244,0.2687292904685751,0.14866942751013823,0.17315454838082617,0.39045070404620424,201
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISp,VISp_2,60,0.34961140295240967,0.31451331693384554,0.18819776656430967,0.19163425277249654,0.5014311036457505,0.30545549114228976,0.26503901794063606,0.1801183061312106,0.16096835768950035,0.39765110574156276,43
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISp,VISp_3,180,0.4309697618327397,0.4354205431143996,0.1867120591813115,0.27688265880279433,0.5969529903431112,0.31171076111181334,0.29946743537116216,0.14843977767393052,0.21228833003671113,0.4094889860269255,157
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISl,VISl_4,327,0.3899178779126582,0.39103061862503524,0.1850022165539306,0.2501026243543376,0.5500132731060483,0.34731327764368153,0.32920726954133817,0.17327389578381253,0.22221965072087602,0.45616766146739207,263
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISl,VISl_5,204,0.49824288063989264,0.5236448592534635,0.18961964160597386,0.3761209735289508,0.6671241895979172,0.3136079742111823,0.3006832427827774,0.15153808929924376,0.18872847009410917,0.4334007625741371,189
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISl,VISl_6,39,0.3339496275414585,0.25654616961288934,0.17390750278872324,0.22010603217163266,0.4800470233983457,0.29562204716901913,0.28923080264595386,0.12625082746138944,0.19821898143544392,0.3768591017334671,31
bef120c7-3838-4cbe-8dcc-7af7ea1dc0d9,sub-839909,839909-202,VISl,VISl_7,244,0.3960517946510829,0.37238277185088864,0.18753153541537818,0.24831967462681093,0.5452224595675125,0.3186407723329709,0.3134103501614039,0.15535434615807353,0.1931643980765914,0.41625497283471,208
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISp,VISp_0,257,0.44929296560964554,0.46370718609816697,0.17366286712901152,0.3166589869536049,0.5897770810029802,0.3338214240545358,0.32440501389030146,0.1550586152303444,0.22432862357093156,0.43906729182534715,235
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISp,VISp_1,292,0.48561068776930355,0.5020966102573621,0.17860768407481303,0.3708857216492748,0.6291599753868908,0.4215855253817921,0.42634862969695925,0.18244673898307193,0.26689251671059827,0.5665815516760965,264
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISp,VISp_2,53,0.371201258628137,0.3600830335479534,0.16184986091886547,0.2668529349707086,0.4740685813780665,0.3410005198463308,0.33833045433594133,0.1578430730433559,0.21759982697387928,0.46348251795452244,46
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISp,VISp_3,214,0.4882731219843172,0.5301684256443457,0.19063521408121575,0.33784462462355763,0.6401117107626983,0.308347904808147,0.29749031681854926,0.15800303082009134,0.17474857206296432,0.4050336488287559,192
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISl,VISl_4,287,0.4270847756635764,0.4357010456534077,0.17361761047067073,0.28933950343633197,0.5667930821910292,0.32895947372542067,0.314902909985932,0.15603020945435345,0.21300625613359137,0.4448312318953815,254
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISl,VISl_5,328,0.457584299002637,0.48346328539906386,0.17192028917882704,0.31684460426748423,0.5960919194537697,0.40328374970597286,0.39906611111154466,0.17575233286364425,0.2715286676366378,0.5413907811834457,302
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISl,VISl_6,58,0.4023132330885392,0.39951035349382535,0.17275889454915083,0.28315035336128414,0.5392373435867613,0.31823895408151576,0.334087443571482,0.14390074433436714,0.1928664018654498,0.4327553589577573,50
4c250fef-482a-470e-b6c2-64d8b059a4be,sub-845342,845342-202,VISl,VISl_7,185,0.5181465651424391,0.5480864500580919,0.1798051390820749,0.3805395285063554,0.6579910235893722,0.3102182760139531,0.29192388143455816,0.1497356724555826,0.19822782773293587,0.41397398262642426,173
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISp,VISp_0,265,0.4465340708044888,0.4513095509295096,0.16420778912942582,0.3486485601794485,0.5704268000401523,0.3308119209467209,0.3360907800928038,0.15797744052980017,0.2057904760651418,0.44530264510828604,245
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISp,VISp_1,304,0.4751804699246806,0.4929490408646635,0.16916567187515671,0.35953726259081176,0.6104452796536843,0.4391049302530524,0.4494842681720608,0.17121233320175755,0.30617794182726843,0.5784174907902744,281
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISp,VISp_2,63,0.3839028515426412,0.3724995224698898,0.16158888370927985,0.2504533033854189,0.5243424737000267,0.28917559265331355,0.2809218293717747,0.14286113857864277,0.1878488371358396,0.38338199518328786,56
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISp,VISp_3,227,0.4917408922625352,0.5318683039136913,0.18717512863928953,0.3454244579370337,0.6436142437265049,0.31889665692752595,0.30638502920021143,0.1511308472425422,0.20507948630150674,0.4252860446010258,205
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISl,VISl_4,297,0.41512210938115585,0.4131657017838326,0.17440836817873107,0.2829004424533102,0.558840908480529,0.34236900079510657,0.3261578144415104,0.16947566696247357,0.2125535578942088,0.4684939780438261,257
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISl,VISl_5,324,0.45342873906064846,0.4664638392044034,0.17279020353912827,0.32867129974081566,0.6025632182362924,0.40833329124158646,0.4057306906708804,0.17280332264278914,0.28310817926149184,0.5522435034803566,292
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISl,VISl_6,61,0.3888222601831961,0.36583059410666235,0.16581084131695487,0.27044461740768805,0.5273155540420564,0.29877804422540116,0.29717148153744294,0.14969386450705316,0.17983816648156542,0.3989460151319391,54
4db929b5-84c3-4bb1-ba0d-019953e55c53,sub-845342,845342-202,VISl,VISl_7,189,0.5050405217184598,0.5363202751245385,0.18882892723083272,0.3842447221393325,0.6602809822303182,0.30561763533776837,0.313997608447809,0.15879174684508948,0.18031450029671053,0.40723496019720096,172
14cb4a55-bc84-4bd0-b092-d5d2a6bb03d4,sub-839909,839909-202,VISp,VISp_0,340,0.4065870110306381,0.40134219266294924,0.16969842015524245,0.2828120357157907,0.5354186060733821,0.35043005310937314,0.3362776145503076,0.1648495080865797,0.21386073849974563,0.459103984609093,292
14cb4a55-bc84-4bd0-b092-d5d2a6bb03d4,sub-839909,839909-202,VISp,VISp_1,210,0.4720676659614596,0.4996601297090758,0.18677574530171245,0.3446674483028102,0.6284766250979956,0.2939243966670333,0.2799276701517624,0.14508430205277287,0.17700925504332168,0.396349751968198,185
14cb4a55-bc84-4bd0-b092-d5d2a6bb03d4,sub-839909,839909-202,VISp,VISp_2,96,0.3971863363039419,0.3898082543221269,0.175067800094752,0.25776001653175573,0.5478731601946811,0.3006579034221008,0.2762166098738385,0.15856693409275724,0.17441793337905204,0.40679022471464604,85
14cb4a55-bc84-4bd0-b092-d5d2a6bb03d4,sub-839909,839909-202,VISp,VISp_3,188,0.4240337873518305,0.437544907967256,0.19591726642373014,0.2555156691707814,0.5883328831659473,0.33585930723992585,0.3253428726930203,0.1552133478040864,0.2128404379136929,0.4540741238541264,157
