asset_id,subject_id,session_date,probe,n_units,mean_OSI,median_OSI,std_OSI,q25_OSI,q75_OSI,mean_DSI,median_DSI,std_DSI,q25_DSI,q75_DSI,n_tuned
cd175e65-8faa-4216-86af-c1fd30e571a1,sub-820459,ecephys-82,ProbeA,194,0.331503078237935,0.3182652022256185,0.16573751909036755,0.20574436535447038,0.418298103044638,0.32209665107379876,0.3090462522689735,0.1610839629805683,0.20351674541499928,0.4183846710210569,150
cd175e65-8faa-4216-86af-c1fd30e571a1,sub-820459,ecephys-82,ProbeB,184,0.41083282738045335,0.42614861724522446,0.1862255166645217,0.25997458794146533,0.539000530777704,0.30693674963777917,0.275325357382671,0.15959898396578556,0.19411049240989064,0.3927449008737417,158
cd175e65-8faa-4216-86af-c1fd30e571a1,sub-820459,ecephys-82,ProbeC,101,0.39398911712398416,0.37993685259909216,0.19939609656252735,0.24851369876945933,0.5148281434968576,0.3133197734983966,0.29106397465316763,0.1695867932107155,0.1913490777482931,0.4264848788013239,83
cd175e65-8faa-4216-86af-c1fd30e571a1,sub-820459,ecephys-82,ProbeD,179,0.3396275487940562,0.3283146855968641,0.16938894344811892,0.21587926723700984,0.45213398767879176,0.3064568884740447,0.2933140905940767,0.1546434911998743,0.19736815266492258,0.3953518355992275,139
cd175e65-8faa-4216-86af-c1fd30e571a1,sub-820459,ecephys-82,ProbeF,162,0.3140999829481428,0.31337223716585716,0.12865862355984103,0.22000543115078414,0.3880761910298755,0.30285703508489664,0.28656322134990253,0.13948993209018795,0.20143748913632784,0.4060268656774533,126
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeA,152,0.3177236784963954,0.31194919320413295,0.16533544553728036,0.17779374539524212,0.4390621886407637,0.33361379661918317,0.31342602457506796,0.1680510981836022,0.21849080825279205,0.4392649074344712,106
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeB,84,0.4160104214444666,0.4191368966567836,0.1781697941767941,0.27145024560129316,0.5501720453262496,0.3558910401132456,0.35600614096253946,0.17436028456412703,0.2158820938759229,0.46298825622465956,75
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeC,118,0.399958850407349,0.38760496560800795,0.18884306692308114,0.25104137483057254,0.5476285425814345,0.28490868111470047,0.273977721883395,0.13587913443080432,0.19100246839225066,0.3771991358084141,98
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeD,142,0.376412861647745,0.38810060378112254,0.17914441890456637,0.24132667247637515,0.4860129600023126,0.3340796174543678,0.3245427424375409,0.1665849633334098,0.2132981991949728,0.42883928582566333,115
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeE,101,0.31522260861013446,0.30592573340801155,0.15133800501981665,0.20367941946822118,0.4361197446007593,0.26699040275448377,0.2564929213632795,0.1368411866467623,0.1646556833962196,0.3465748411073077,76
1d115777-6c71-4c53-b519-05e2f8a944a9,sub-820454,ecephys-82,ProbeF,241,0.32831292173675436,0.320186368191762,0.15058838335867009,0.2251235614481231,0.4210393970170517,0.31939010134498286,0.2932831413154635,0.15194310423940227,0.21281009555998762,0.4207881540047191,189
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeA,165,0.3312832998687023,0.3246170467567957,0.15873985987624153,0.20933565533736012,0.4555043266069588,0.3100668841224048,0.280107208849098,0.15474345490347222,0.189330088396368,0.4119347184401095,129
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeB,126,0.3365219486860341,0.32355805708418667,0.16128946564977642,0.22332707556976786,0.4307605912587857,0.31948538380319835,0.3145389364797773,0.15643057700866111,0.20821586318456148,0.4161365134508017,98
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeC,162,0.42477369022974176,0.40316867327351535,0.20303661083541683,0.2612062246535717,0.6012553586087056,0.2988142607743075,0.27566823152695796,0.1598584125314079,0.18204161033747676,0.3983963483991596,142
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeD,137,0.3824352009992293,0.3676236938792865,0.18450186065294036,0.23156360029492815,0.5168584664563693,0.3209251132409679,0.30294909235087936,0.1535555677348904,0.20474370744693846,0.4150279727264251,115
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeE,170,0.30871635548805004,0.28101415804983965,0.162033308010894,0.18803576057902036,0.41780342023170103,0.30834119132580345,0.30141102273996984,0.15615380738486967,0.18697397824340353,0.41075577637183897,122
d6863657-b939-4d54-9451-ef303d886326,sub-820454,ecephys-82,ProbeF,302,0.32159431475013356,0.3141748106919478,0.14863253748370867,0.20565498631341522,0.4269559233468284,0.32103625161094085,0.31850778980914923,0.14225213831721573,0.2109036133701297,0.4273098187344303,231
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeA,206,0.33126896298629105,0.342555075456084,0.15511723825034468,0.20988149207773546,0.4478002439245775,0.33521604414703765,0.3229509359591216,0.16282966291060666,0.2154509142789001,0.4612166795778962,156
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeB,232,0.3900085040623183,0.3660270092427492,0.1859584967130723,0.24825067077070775,0.5171319405368816,0.30324895463427604,0.27641371947011095,0.1603992221072173,0.17550743616320882,0.41076952722280763,197
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeC,187,0.4108338889357396,0.40110438700317824,0.18387229634907848,0.2896287420877328,0.5297438255992204,0.29554394484398255,0.283735409028159,0.14780806859819803,0.1908159588071528,0.3744375888238364,157
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeD,198,0.3936439263816266,0.3922951069057524,0.17554955216016913,0.24504326249268255,0.5235042531003639,0.3370244991809801,0.32432552749502375,0.15843540724520114,0.22100724574299843,0.438515642993626,168
